Currencies,Type
USDEUR,Developed
USDGBP,Developed
USDCHF,Developed
USDJPY,Developed
USDSEK,Developed
USDNOK,Developed
USDTRY,Developing
USDMXN,Developing
USDBRL,Developing
USDAUD,Developed
USDNZD,Developed
USDUSD,Developed
USDSGD,Developed
USDKRW,Developed
USDINR,Developing
USDCAD,Developed
USDCOP,Developing
USDCLP,Developing
USDARS,Developing
USDZAR,Developing
USDXAU,Commodity
USDXBT,Crypto
